uri:/instrument/1.0/EBAY/chartdata;type=quote;range=10y/csv
ticker:ebay
Company-Name:eBay Inc.
Exchange-Name:NMS
unit:WEEK
timestamp:
first-trade:19980924
last-trade:20170417
currency:USD
previous_close_price:14.1077
Date:20070423,20170417
labels:20070423,20080107,20090105,20100104,20110103,20120103,20130107,20140106,20150105,20160104,20170103
values:Date,close,high,low,open,volume
close:4.3897,34.4400
high:4.6254,34.7400
low:4.1709,34.0900
open:4.3224,34.3500
volume:4246775,88776528
20130624,21.7677,22.0707,21.0816,21.3931,25336480
20130701,22.6641,22.6810,21.8981,21.9697,15353475
20130708,24.0067,24.0194,22.4621,22.8451,18270140
20130715,21.9655,24.2003,21.9360,23.9983,44368560
20130722,21.9907,22.0833,21.4310,22.0623,30865560
20130729,22.1128,22.2012,21.6330,21.9276,18843340
20130805,22.4453,22.6768,22.0244,22.1507,16534559
20130812,22.2727,22.9461,21.7508,22.2012,20774320
20130819,21.7382,22.4242,21.3847,22.1970,20611060
20130826,21.0396,21.9402,20.8838,21.7466,21274660
20130903,22.2348,22.4074,21.0774,21.2879,21659400
20130909,22.6515,22.9840,21.9276,22.2138,19432680
20130916,23.1271,23.2534,22.4916,22.9293,21585720
20130923,23.4764,23.9478,22.7357,23.1524,20210440
20130930,23.3923,23.6742,22.9335,23.2618,15568741
20131007,22.8830,23.3291,21.9276,23.1061,19610680
20131014,21.9697,23.0640,21.1406,22.7736,47168160
20131021,21.7340,22.2727,21.4857,22.0665,28178000
20131028,21.8603,22.5210,21.6582,21.8013,24181500
20131104,22.3064,22.6641,21.2626,21.8813,30780518
20131111,22.1380,22.5084,21.8687,22.1507,22045020
20131118,21.1827,22.1759,20.9848,22.0244,42105220
20131125,21.2626,21.3594,20.2273,21.3468,47881000
20131202,21.8897,22.3401,21.2584,21.9739,35210740
20131209,21.6961,22.0118,21.5446,21.8855,19548420
20131216,22.9714,23.0640,21.7003,21.9865,32755582
20131223,22.8030,23.2828,22.6052,23.0219,21346824
20131230,22.4158,23.1481,22.3864,22.9167,19036450
20140106,21.9529,22.5673,21.5109,22.0539,35922460
20140113,22.3906,22.7946,21.7971,21.9360,37896040
20140121,22.8830,23.5269,22.5210,22.7273,81856472
20140127,22.3906,22.8577,21.9066,22.6431,38452440
20140203,22.9756,23.0387,21.9024,22.3653,33010300
20140210,23.0513,23.1271,22.4874,22.9251,25795720
20140218,22.9756,23.3712,22.9419,23.0850,22464300
20140224,24.7348,25.1263,23.0976,23.1902,40760880
20140303,24.8569,25.1052,24.1793,24.3603,24295300
20140310,23.8805,24.8064,23.7416,24.6591,23664780
20140317,23.9731,24.4823,23.8384,24.3687,19472560
20140324,23.2281,24.2045,22.8241,23.9941,20337520
20140331,22.7273,23.6742,22.6726,23.4343,24607780
20140407,22.5000,23.5522,22.2475,22.7441,42068600
20140414,23.1355,23.2197,22.2727,22.6221,22255400
20140421,22.6094,23.4091,22.4958,23.1313,17765120
20140428,21.8897,23.0051,21.4141,22.7778,38564040
20140505,21.2710,22.0328,20.9470,21.8013,34504320
20140512,21.8645,22.0875,21.3173,21.4310,32120540
20140519,21.8939,22.0791,21.1700,21.7803,24577920
20140527,21.3510,22.0202,20.9638,22.0160,36434600
20140602,20.9175,21.4394,20.8333,21.3300,26778460
20140609,20.6397,20.9301,20.2609,20.6692,45684520
20140616,20.7660,20.9596,20.5135,20.5892,26638482
20140623,21.0774,21.1195,20.4840,20.8207,23328280
20140630,21.4394,21.4983,20.9596,21.1237,19819724
20140707,21.6751,21.8140,20.9343,21.4352,24205120
20140714,21.6667,21.8182,21.2542,21.5699,31961760
20140721,22.2012,22.5168,21.4815,21.5783,29336618
20140728,22.1086,22.5505,21.9444,22.2685,26078140
20140804,22.7652,22.8325,21.9865,22.0581,25462400
20140811,22.1549,22.9125,22.0960,22.8241,24493380
20140818,23.3586,24.0109,22.2264,22.3316,41183020
20140825,23.3586,23.8678,23.1229,23.4049,19752340
20140902,22.6852,23.3965,22.4327,23.3502,28858250
20140908,21.9655,23.1481,21.0606,22.6347,56843620
20140915,22.0539,22.3316,21.2795,21.9781,33588260
20140922,22.2769,22.3864,21.8140,21.9992,21187760
20140929,22.9125,24.1162,22.0118,22.1002,62077336
20141006,21.8266,23.0093,21.8140,22.9293,24893900
20141013,20.1810,21.8561,19.5034,21.7003,43220400
20141020,21.5152,21.7214,20.1641,20.2189,27181918
20141027,22.0960,22.1928,21.3552,21.5067,17871700
20141103,22.5253,22.6221,22.0076,22.0202,17479740
20141110,22.8788,22.9882,22.4158,22.5042,14846800
20141117,22.9040,23.4259,22.8241,22.8830,16849100
20141124,23.0976,23.2323,22.8241,23.0135,11682500
20141201,23.0682,23.3165,22.9040,23.0471,13996020
20141208,23.4722,24.2551,22.9630,23.2955,35138360
20141215,24.0488,24.2803,23.2113,23.5101,27563218
20141222,24.0067,24.3855,23.9646,24.1877,14117975
20141229,23.6574,24.1961,23.4554,24.0488,11756875
20150105,23.4133,23.7500,22.9125,23.5059,20716300
20150112,22.5842,23.7374,22.2054,23.4259,20122620
20150120,23.8889,24.1077,22.2727,22.6852,40161900
20150126,22.3064,23.9604,22.2896,23.7247,21511980
20150202,22.9377,23.1061,22.1128,22.3527,17207720
20150209,23.7668,23.8258,22.6768,22.7315,19336280
20150217,24.4192,24.4318,23.4891,23.6406,16732800
20150223,24.3729,24.7727,24.3013,24.3434,15596080
20150302,25.1978,25.4503,24.2214,24.2214,17997400
20150309,24.8611,25.6439,24.6717,25.1978,26426000
20150316,24.3813,25.2441,23.8594,25.0505,30424300
20150323,24.2551,25.2652,24.0993,24.3771,20499560
20150330,23.9520,24.5791,23.8889,24.3056,10753600
20150406,24.1330,24.3729,23.3375,23.3586,14193980
20150413,23.4806,24.5076,23.3165,24.0572,14544480
20150420,24.9158,25.2441,23.3207,23.5648,24509060
20150427,24.9579,25.3114,24.3813,24.8527,17467980
20150504,24.7559,25.0337,23.9604,24.8906,14478920
20150511,25.0042,25.6019,24.2298,24.7685,13203980
20150518,25.1347,25.3241,24.6717,24.9242,10202040
20150526,25.8249,25.9428,24.6380,25.2652,20349376
20150601,26.6120,26.6414,25.8880,25.9049,22291200
20150608,25.2609,26.3131,25.1431,26.3131,21282160
20150615,25.7449,26.0438,24.9369,25.0968,18819940
20150622,25.6902,26.2584,25.5471,25.9217,15124020
20150629,26.0311,26.1911,24.8779,25.5303,24392800
20150706,26.2500,26.3847,25.6187,25.8670,32879740
20150713,27.8998,28.0850,26.2542,26.2710,45571060
20150720,28.2300,29.3500,26.5900,26.8900,34410180
20150727,28.1200,28.8700,27.8200,28.0200,17336660
20150803,28.5500,28.7200,27.8400,28.0900,11637900
20150810,28.2600,28.9400,27.3100,28.6100,8592260
20150817,25.7700,28.4600,25.7200,28.1200,13400320
20150824,27.2500,27.2700,23.2300,23.8700,18401420
20150831,26.4800,27.6000,26.2900,27.0800,11876760
20150908,26.3200,26.9100,25.7700,26.6900,11041900
20150914,26.0200,26.7700,25.3300,26.2200,14592100
20150921,25.3300,26.5000,25.0900,26.2600,9087420
20150928,25.5300,25.5500,23.7600,25.1500,15559859
20151005,24.3000,25.9300,23.6200,25.5900,19665360
20151012,24.5500,24.9000,23.9300,24.0400,12250280
20151019,28.1600,28.5700,24.1800,24.5400,21412320
